Continent,Country,GII Category,Id (copy),Index,UNDP Developing Regions,X,Y,0,1,100,GII 2021,GII Final,GII Rank (2021),Size,World Avg
Asia,Cambodia,Medium,Cambodia,81,East Asia & Pacific,732.077643027,131.936628081,0,1,100,0.461,46.1,116,17091464,46.5
Asia,South Korea,Very Low,South Korea,82,East Asia & Pacific,220.953104419,289.692452171,0,1,100,0.067,6.7,15,51439038,46.5
Asia,Kuwait,Medium,Kuwait,83,Middle East & North Africa,537.964210591,227.523936642,0,1,100,0.305,30.5,74,4670713,46.5
Asia,Lao,Medium,Lao,84,East Asia & Pacific,752.740789427,379.803590089,0,1,100,0.478,47.8,120,7443000,46.5
Asia,Lebanon,Medium,Lebanon,85,Middle East & North Africa,680.981872838,294.958374329,0,1,100,0.432,43.2,108,5490000,46.5
Africa,Liberia,High,Liberia,86,Sub-Saharan Africa,965.624209561,260.689154064,0,1,100,0.648,64.8,164,5248621,46.5
Africa,Libya,Low,Libya,87,Middle East & North Africa,473.065768375,310.549498556,0,1,100,0.259,25.9,61,6931061,46.5
America,Saint Lucia,Medium,Saint Lucia,88,Americas,611.688050428,286.749678196,0,1,100,0.381,38.1,91,178696,46.5
Asia,Sri Lanka,Medium,Sri Lanka,89,South Asia,630.617711029,329.029983558,0,1,100,0.383,38.3,92,22037000,46.5
Africa,Lesotho,High,Lesotho,90,Sub-Saharan Africa,852.451232861,272.390707850,0,1,100,0.557,55.7,144,2306000,46.5
Europe,Lithuania,Very Low,Lithuania,91,Europe and Central Asia,276.548298838,207.758261737,0,1,100,0.105,10.5,30,2866965,46.5
Europe,Luxembourg,Very Low,Luxembourg,92,Europe and Central Asia,192.583032427,255.308688123,0,1,100,0.044,4.4,9,660809,46.5
Europe,Latvia,Low,Latvia,93,Europe and Central Asia,331.191023172,259.860099235,0,1,100,0.151,15.1,40,1882000,46.5
Africa,Morocco,Medium,Morocco,94,Middle East & North Africa,674.811940021,166.080801908,0,1,100,0.425,42.5,104,37136400,46.5
Europe,Moldova,Low,Moldova,95,Europe and Central Asia,396.329325226,287.071820937,0,1,100,0.205,20.5,51,2512758,46.5
Africa,Madagascar,High,Madagascar,96,Sub-Saharan Africa,855.780716005,189.025015568,0,1,100,0.556,55.6,143,26923353,46.5
Asia,Maldives,Medium,Maldives,97,South Asia,585.437650925,272.496958497,0,1,100,0.348,34.8,83,382751,46.5
America,Mexico,Medium,Mexico,98,Americas,535.768143481,292.616466104,0,1,100,0.309,30.9,75,129202482,46.5
Europe,North Macedonia,Very Low,North Macedonia,99,Europe and Central Asia,312.887246426,230.342472667,0,1,100,0.134,13.4,37,1832696,46.5
Africa,Mali,High,Mali,100,Sub-Saharan Africa,924.243071098,281.176488070,0,1,100,0.613,61.3,155,22395489,46.5
Europe,Malta,Low,Malta,101,Europe and Central Asia,355.845132980,156.538309645,0,1,100,0.167,16.7,42,519562,46.5
Asia,Myanmar,Medium,Myanmar,102,East Asia & Pacific,775.790637455,194.885894477,0,1,100,0.498,49.8,125,55770232,46.5
Europe,Montenegro,Very Low,Montenegro,103,Europe and Central Asia,295.866605879,227.362200635,0,1,100,0.119,11.9,32,616695,46.5
Asia,Mongolia,Medium,Mongolia,104,East Asia & Pacific,543.834709959,243.873820935,0,1,100,0.313,31.3,76,3457548,46.5
Africa,Mozambique,High,Mozambique,105,Sub-Saharan Africa,836.578206020,287.463874432,0,1,100,0.537,53.7,136,32419747,46.5
Africa,Mauritania,High,Mauritania,106,Sub-Saharan Africa,942.092949823,238.860482738,0,1,100,0.632,63.2,161,4475683,46.5
Africa,Mauritius,Medium,Mauritius,107,Sub-Saharan Africa,589.397753588,232.550354474,0,1,100,0.347,34.7,82,1261041,46.5
Africa,Malawi,High,Malawi,108,Sub-Saharan Africa,835.713981449,260.900438977,0,1,100,0.554,55.4,142,21507723,46.5
Asia,Malaysia,Low,Malaysia,109,East Asia & Pacific,438.220689108,161.723902369,0,1,100,0.228,22.8,57,33379500,46.5
Africa,Namibia,Medium,Namibia,110,Sub-Saharan Africa,697.770059261,297.717768722,0,1,100,0.445,44.5,111,2641857,46.5
Africa,Niger,High,Niger,111,Sub-Saharan Africa,918.155515533,306.178463503,0,1,100,0.611,61.1,153,25369415,46.5
Africa,Nigeria,Very High,Nigeria,112,Sub-Saharan Africa,1006.579218786,256.077053080,0,1,100,0.68,68.0,168,216783400,46.5
America,Nicaragua,Medium,Nicaragua,113,Americas,665.394144598,188.273588879,0,1,100,0.424,42.4,102,6733763,46.5
Europe,Netherlands,Very Low,Netherlands,114,Europe and Central Asia,173.638395584,249.896071602,0,1,100,0.025,2.5,5,17949700,46.5
Europe,Norway,Very Low,Norway,115,Europe and Central Asia,158.497235356,235.422364366,0,1,100,0.016,1.6,2,5514042,46.5
Asia,Nepal,Medium,Nepal,116,South Asia,717.518817069,332.460828666,0,1,100,0.452,45.2,113,29164578,46.5
Oceania,New Zealand,Very Low,New Zealand,117,East Asia & Pacific,253.038199858,214.393089753,0,1,100,0.088,8.8,25,5223100,46.5
Asia,Oman,Low,Oman,118,Middle East & North Africa,526.793583261,241.248142345,0,1,100,0.3,30.0,72,5113071,46.5
Asia,Pakistan,High,Pakistan,119,South Asia,831.866535520,330.169740492,0,1,100,0.534,53.4,135,241499431,46.5
America,Panama,Medium,Panama,120,Americas,644.569670824,190.419586733,0,1,100,0.392,39.2,96,4337406,46.5
America,Peru,Medium,Peru,121,Americas,623.813677744,303.117573809,0,1,100,0.38,38.0,90,33396698,46.5
Asia,Philippines,Medium,Philippines,122,East Asia & Pacific,681.201829291,248.429894147,0,1,100,0.419,41.9,101,110737000,46.5
Oceania,Papua New Guinea,Very High,Papua New Guinea,123,East Asia & Pacific,1063.454770756,250.069590511,0,1,100,0.725,72.5,169,11781559,46.5
Europe,Poland,Very Low,Poland,124,Europe and Central Asia,285.863609089,266.483156756,0,1,100,0.109,10.9,31,37691000,46.5
Europe,Portugal,Very Low,Portugal,125,Europe and Central Asia,232.235608006,165.728861491,0,1,100,0.067,6.7,15,10467366,46.5
America,Paraguay,Medium,Paraguay,126,Americas,704.881331718,313.386289661,0,1,100,0.445,44.5,111,6109644,46.5
Asia,Qatar,Low,Qatar,127,Middle East & North Africa,423.591269793,277.269473661,0,1,100,0.22,22.0,54,2656032,46.5
Europe,Romania,Low,Romania,128,Europe and Central Asia,493.672216162,216.111786221,0,1,100,0.282,28.2,67,19051562,46.5
Europe,Russia,Low,Russia,129,Europe and Central Asia,419.414114707,308.679151271,0,1,100,0.203,20.3,50,146424729,46.5
Africa,Rwanda,Medium,Rwanda,130,Sub-Saharan Africa,630.689583217,204.327892587,0,1,100,0.388,38.8,93,13246394,46.5
Asia,Saudi Arabia,Low,Saudi Arabia,131,Middle East & North Africa,455.807253737,294.553265982,0,1,100,0.247,24.7,59,32175224,46.5
Africa,Sudan,High,Sudan,132,Middle East & North Africa,847.579747773,371.424777058,0,1,100,0.553,55.3,141,41984500,46.5
Africa,Senegal,High,Senegal,133,Sub-Saharan Africa,834.936062079,174.733378534,0,1,100,0.53,53.0,131,18275743,46.5
Asia,Singapore,Very Low,Singapore,134,East Asia & Pacific,194.109747235,302.799974385,0,1,100,0.04,4.0,7,5917600,46.5
Africa,Sierra Leone,High,Sierra Leone,135,Sub-Saharan Africa,948.823698836,279.061335492,0,1,100,0.633,63.3,162,8494260,46.5
America,El Salvador,Medium,El Salvador,136,Americas,615.084118081,233.381642530,0,1,100,0.376,37.6,88,6884888,46.5
Europe,Serbia,Very Low,Serbia,137,Europe and Central Asia,310.371606405,275.372889328,0,1,100,0.131,13.1,36,6641197,46.5
Africa,South Sudan,High,South Sudan,138,Sub-Saharan Africa,888.350464796,242.257048417,0,1,100,0.587,58.7,150,13249924,46.5
Africa,São Tomé and Príncipe,Medium,São Tomé and Príncipe,139,Sub-Saharan Africa,767.420015194,339.752158275,0,1,100,0.494,49.4,124,214610,46.5
America,Suriname,Medium,Suriname,140,Americas,697.746980642,327.660302948,0,1,100,0.427,42.7,105,616500,46.5
Europe,Slovakia,Low,Slovakia,141,Europe and Central Asia,369.495065697,148.917023924,0,1,100,0.18,18.0,45,5426352,46.5
Europe,Slovenia,Very Low,Slovenia,142,Europe and Central Asia,244.134823562,283.417376745,0,1,100,0.071,7.1,18,2117674,46.5
Europe,Sweden,Very Low,Sweden,143,Europe and Central Asia,176.388220115,227.767856921,0,1,100,0.023,2.3,4,10548336,46.5
Africa,Eswatini,High,Eswatini,144,Sub-Saharan Africa,825.335092796,244.177583316,0,1,100,0.54,54.0,138,1223362,46.5
Asia,Syria,Medium,Syria,145,Middle East & North Africa,736.989483092,363.953532344,0,1,100,0.477,47.7,119,22923000,46.5
Africa,Chad,Very High,Chad,146,Sub-Saharan Africa,970.346368790,240.468667029,0,1,100,0.652,65.2,165,17414717,46.5
Africa,Togo,High,Togo,147,Sub-Saharan Africa,884.243274744,262.805989613,0,1,100,0.58,58.0,149,8095498,46.5
Asia,Thailand,Medium,Thailand,148,East Asia & Pacific,564.677088615,227.895588597,0,1,100,0.333,33.3,79,68263022,46.5
Asia,Tajikistan,Low,Tajikistan,149,Europe and Central Asia,495.271525782,189.066966509,0,1,100,0.285,28.5,68,10077600,46.5
Asia,Turkmenistan,Low,Turkmenistan,150,Europe and Central Asia,341.634218643,273.405239293,0,1,100,0.177,17.7,43,7057841,46.5
Asia,Timor-Leste,Medium,Timor-Leste,151,East Asia & Pacific,627.673564991,222.345677798,0,1,100,0.378,37.8,89,1354662,46.5
Oceania,Tonga,High,Tonga,152,East Asia & Pacific,952.705579836,249.037916657,0,1,100,0.631,63.1,160,100179,46.5
America,Trinidad and Tobago,Medium,Trinidad and Tobago,153,Americas,581.670638818,259.288580575,0,1,100,0.344,34.4,81,1365805,46.5
Africa,Tunisia,Low,Tunisia,154,Middle East & North Africa,472.111420919,244.739209369,0,1,100,0.259,25.9,61,11850232,46.5
Asia,Turkey,Low,Turkey,155,Europe and Central Asia,488.123303514,285.898257224,0,1,100,0.272,27.2,65,85279553,46.5
Africa,Tanzania,High,Tanzania,156,Sub-Saharan Africa,864.228756278,218.496165177,0,1,100,0.56,56.0,146,61741120,46.5
Africa,Uganda,High,Uganda,157,Sub-Saharan Africa,807.745702735,132.037228935,0,1,100,0.53,53.0,131,42885900,46.5
Europe,Ukraine,Low,Ukraine,158,Europe and Central Asia,399.208482787,341.892296766,0,1,100,0.2,20.0,49,41130432,46.5
America,Uruguay,Low,Uruguay,159,Americas,451.005259946,246.300963349,0,1,100,0.235,23.5,58,3566550,46.5
America,United States,Low,United States,160,Americas,362.669717208,310.422217810,0,1,100,0.179,17.9,44,335581000,46.5
Asia,Uzbekistan,Low,Uzbekistan,161,Europe and Central Asia,444.319950879,268.287518337,0,1,100,0.227,22.7,56,36599764,46.5
America,Saint Vincent and the Grenadines,Medium,Saint Vincent and the Grenadines,162,Americas,642.667464516,295.769180734,0,1,100,0.39,39.0,94,110872,46.5
America,Venezuela,Medium,Venezuela,163,Americas,762.745811148,358.931939469,0,1,100,0.492,49.2,123,28302000,46.5
Asia,Vietnam,Low,Vietnam,164,East Asia & Pacific,523.193105088,202.187722200,0,1,100,0.296,29.6,71,100000000,46.5
Oceania,Samoa,Medium,Samoa,165,East Asia & Pacific,666.499916315,203.864226986,0,1,100,0.418,41.8,99,205557,46.5
Asia,Yemen,Very High,Yemen,166,Middle East & North Africa,1184,250.003883012,0,1,100,0.82,82.0,170,31888698,46.5
Africa,South Africa,Medium,South Africa,167,Sub-Saharan Africa,652.307275772,222.679902290,0,1,100,0.405,40.5,97,62027503,46.5
Africa,Zambia,High,Zambia,168,Sub-Saharan Africa,833.586801398,122.462222279,0,1,100,0.54,54.0,138,19610769,46.5
Africa,Zimbabwe,High,Zimbabwe,169,Sub-Saharan Africa,816.131232914,106.637766898,0,1,100,0.532,53.2,134,15178979,46.5
,-1,,-1,-1,,0,0,0,1,100,,,,,46.5
,-2,,-2,-2,,1344,0,0,1,100,,,,,46.5
,-3,,-3,-3,,0,500,0,1,100,,,,,46.5
,-4,,-4,-4,,1344,500,0,1,100,,,,,46.5
